County  Code,County  Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Candidate Surname,Candidate Other Names,Party Code,Political  Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
35,Kericho,189,Kipkelion West,940,Kunyak,Koskei,Simion,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,189,Kipkelion West,940,Kunyak,Rono,David  Kipkemoi,Ind,Independent,IND,IND_CAW940_01,IND_CAW940_01
35,Kericho,189,Kipkelion West,940,Kunyak,Yegon,Wesley Kiprotich,Ind,Independent,IND,IND_CAW940_02,IND_CAW940_02
35,Kericho,189,Kipkelion West,941,Kamasian,Koskei,Bernard Kipkorir,Ind,Independent,IND,IND_CAW941_01,IND_CAW941_01
35,Kericho,189,Kipkelion West,941,Kamasian,Langat,Kenneth Kimutai,Ind,Independent,IND,IND_CAW941_02,IND_CAW941_02
35,Kericho,189,Kipkelion West,941,Kamasian,Rono,Philip  Kingetich,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,189,Kipkelion West,942,Kipkelion,Chepkwony,Josephine Chemutai,Ind,Independent,IND,IND_CAW942_01,IND_CAW942_01
35,Kericho,189,Kipkelion West,942,Kipkelion,Langat,Geofrey Kipkemoi,Ind,Independent,IND,IND_CAW942_02,IND_CAW942_02
35,Kericho,189,Kipkelion West,942,Kipkelion,Ruto,Anthony Kibet,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,189,Kipkelion West,943,Chilchila,Kipngeno,Hezron,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,189,Kipkelion West,943,Chilchila,Kirwa,Daniel   Kipkoech,62,Amani National Congress,ANC,ANC,62
35,Kericho,189,Kipkelion West,943,Chilchila,Korir,Abraham Cheruiyot,2,The National Vision Party,NVP,NVP,2
35,Kericho,189,Kipkelion West,943,Chilchila,Koskei,Kipkemoi,Ind,Independent,IND,IND_CAW943_01,IND_CAW943_01
35,Kericho,190,Ainamoi,944,Kapsoit,Brian,Rotich  Samoei,Ind,Independent,IND,IND_CAW944_01,IND_CAW944_01
35,Kericho,190,Ainamoi,944,Kapsoit,Chirchir,Paul  Kibiegon,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,190,Ainamoi,944,Kapsoit,Kemboi,Benard Kipkoech,Ind,Independent,IND,IND_CAW944_02,IND_CAW944_02
35,Kericho,190,Ainamoi,945,Ainamoi,Bett,Cheruiyot,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,190,Ainamoi,945,Ainamoi,Serem,Kiprono Julius,Ind,Independent,IND,IND_CAW945_01,IND_CAW945_01
35,Kericho,190,Ainamoi,946,Kapkugerwet,Chepkoech,Gladys,54,Chama Cha Mashinani,CCM,CCM,54
35,Kericho,190,Ainamoi,946,Kapkugerwet,Cheruiyot,Martin Kiplangat,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,190,Ainamoi,946,Kapkugerwet,Collins,Kiprono Biegon,Ind,Independent,IND,IND_CAW946_01,IND_CAW946_01
35,Kericho,190,Ainamoi,946,Kapkugerwet,Kibet,Tonui  Fredrick,Ind,Independent,IND,IND_CAW946_02,IND_CAW946_02
35,Kericho,190,Ainamoi,946,Kapkugerwet,Kiplangat,Clinton,62,Amani National Congress,ANC,ANC,62
35,Kericho,190,Ainamoi,946,Kapkugerwet,Ruto,Elijah  Kipkurui,Ind,Independent,IND,IND_CAW946_03,IND_CAW946_03
